Web Search Interest: 2013; 2012; 2011; 2010; 2009
Venezuela; 2004 - present

Interest over time
Week,2013,2012,2011,2010,2009
2005-02-27 - 2005-03-05,0,0,0,0,0
2005-03-06 - 2005-03-12,0,0,0,0,0
2005-03-13 - 2005-03-19,0,0,0,0,0
2005-03-20 - 2005-03-26,0,0,0,0,0
2005-03-27 - 2005-04-02,0,0,0,0,0
2005-04-03 - 2005-04-09,0,0,0,0,0
2005-04-10 - 2005-04-16,0,0,0,0,0
2005-04-17 - 2005-04-23,0,0,0,0,0
2005-04-24 - 2005-04-30,0,0,0,0,0
2005-05-01 - 2005-05-07,0,0,0,0,0
2005-05-08 - 2005-05-14,0,0,0,0,0
2005-05-15 - 2005-05-21,0,0,0,0,0
2005-05-22 - 2005-05-28,0,0,0,0,0
2005-05-29 - 2005-06-04,0,0,0,0,0
2005-06-05 - 2005-06-11,0,0,0,0,0
2005-06-12 - 2005-06-18,0,0,0,0,0
2005-06-19 - 2005-06-25,0,0,0,0,0
2005-06-26 - 2005-07-02,0,0,0,0,0
2005-07-03 - 2005-07-09,0,1,0,0,0
2005-07-10 - 2005-07-16,0,0,0,0,0
2005-07-17 - 2005-07-23,0,0,0,0,0
2005-07-24 - 2005-07-30,0,0,0,0,0
2005-07-31 - 2005-08-06,0,0,0,0,0
2005-08-07 - 2005-08-13,0,0,0,0,0
2005-08-14 - 2005-08-20,0,0,0,0,0
2005-08-21 - 2005-08-27,0,0,0,0,0
2005-08-28 - 2005-09-03,0,0,0,0,0
2005-09-04 - 2005-09-10,0,0,0,0,0
2005-09-11 - 2005-09-17,0,0,0,0,0
2005-09-18 - 2005-09-24,0,0,0,0,0
2005-09-25 - 2005-10-01,0,0,0,0,0
2005-10-02 - 2005-10-08,0,0,0,0,0
2005-10-09 - 2005-10-15,0,0,0,0,0
2005-10-16 - 2005-10-22,0,0,0,0,0
2005-10-23 - 2005-10-29,0,0,0,0,0
2005-10-30 - 2005-11-05,0,0,0,0,0
2005-11-06 - 2005-11-12,0,0,0,0,0
2005-11-13 - 2005-11-19,0,0,0,0,0
2005-11-20 - 2005-11-26,0,0,0,0,0
2005-11-27 - 2005-12-03,0,0,0,0,0
2005-12-04 - 2005-12-10,0,0,0,0,0
2005-12-11 - 2005-12-17,0,0,0,0,0
2005-12-18 - 2005-12-24,0,0,0,0,0
2005-12-25 - 2005-12-31,0,0,0,0,0
2006-01-01 - 2006-01-07,0,0,0,0,0
2006-01-08 - 2006-01-14,0,0,0,0,0
2006-01-15 - 2006-01-21,0,0,0,0,0
2006-01-22 - 2006-01-28,0,0,0,0,0
2006-01-29 - 2006-02-04,0,0,0,0,0
2006-02-05 - 2006-02-11,0,0,0,0,0
2006-02-12 - 2006-02-18,0,0,0,0,0
2006-02-19 - 2006-02-25,0,0,0,0,0
2006-02-26 - 2006-03-04,0,0,0,0,0
2006-03-05 - 2006-03-11,0,0,0,0,0
2006-03-12 - 2006-03-18,0,0,0,0,0
2006-03-19 - 2006-03-25,0,0,0,0,0
2006-03-26 - 2006-04-01,0,0,0,0,0
2006-04-02 - 2006-04-08,0,0,0,0,0
2006-04-09 - 2006-04-15,0,0,0,0,0
2006-04-16 - 2006-04-22,0,0,0,0,0
2006-04-23 - 2006-04-29,0,0,0,0,0
2006-04-30 - 2006-05-06,0,0,0,0,0
2006-05-07 - 2006-05-13,0,0,0,0,0
2006-05-14 - 2006-05-20,0,0,0,0,0
2006-05-21 - 2006-05-27,0,0,0,0,0
2006-05-28 - 2006-06-03,0,0,0,0,0
2006-06-04 - 2006-06-10,0,0,0,0,0
2006-06-11 - 2006-06-17,0,0,0,0,0
2006-06-18 - 2006-06-24,0,0,0,0,0
2006-06-25 - 2006-07-01,0,0,0,0,0
2006-07-02 - 2006-07-08,0,0,0,0,0
2006-07-09 - 2006-07-15,0,0,0,1,0
2006-07-16 - 2006-07-22,0,0,0,0,0
2006-07-23 - 2006-07-29,0,0,0,0,0
2006-07-30 - 2006-08-05,0,0,0,0,0
2006-08-06 - 2006-08-12,0,0,0,0,0
2006-08-13 - 2006-08-19,0,0,0,0,0
2006-08-20 - 2006-08-26,0,0,0,0,0
2006-08-27 - 2006-09-02,0,0,0,0,0
2006-09-03 - 2006-09-09,0,0,0,0,0
2006-09-10 - 2006-09-16,0,0,0,0,0
2006-09-17 - 2006-09-23,0,0,0,0,0
2006-09-24 - 2006-09-30,0,0,0,0,0
2006-10-01 - 2006-10-07,0,0,0,0,0
2006-10-08 - 2006-10-14,0,0,0,0,0
2006-10-15 - 2006-10-21,0,0,0,0,0
2006-10-22 - 2006-10-28,0,0,0,0,0
2006-10-29 - 2006-11-04,0,0,0,0,0
2006-11-05 - 2006-11-11,0,0,0,0,0
2006-11-12 - 2006-11-18,0,0,0,0,0
2006-11-19 - 2006-11-25,0,0,0,0,0
2006-11-26 - 2006-12-02,0,0,0,0,0
2006-12-03 - 2006-12-09,0,0,0,0,0
2006-12-10 - 2006-12-16,0,0,0,0,0
2006-12-17 - 2006-12-23,0,0,0,0,0
2006-12-24 - 2006-12-30,0,0,0,0,0
2006-12-31 - 2007-01-06,0,0,0,0,0
2007-01-07 - 2007-01-13,0,0,0,0,0
2007-01-14 - 2007-01-20,0,0,0,0,0
2007-01-21 - 2007-01-27,0,0,0,0,0
2007-01-28 - 2007-02-03,0,0,0,0,0
2007-02-04 - 2007-02-10,0,0,0,0,0
2007-02-11 - 2007-02-17,0,0,0,0,0
2007-02-18 - 2007-02-24,0,0,0,0,0
2007-02-25 - 2007-03-03,0,0,0,0,0
2007-03-04 - 2007-03-10,0,0,0,0,0
2007-03-11 - 2007-03-17,0,0,0,0,0
2007-03-18 - 2007-03-24,0,0,0,0,0
2007-03-25 - 2007-03-31,0,0,0,0,0
2007-04-01 - 2007-04-07,0,0,0,0,0
2007-04-08 - 2007-04-14,0,0,0,0,0
2007-04-15 - 2007-04-21,0,0,0,0,0
2007-04-22 - 2007-04-28,0,0,0,0,0
2007-04-29 - 2007-05-05,0,0,0,0,0
2007-05-06 - 2007-05-12,0,0,0,0,0
2007-05-13 - 2007-05-19,0,0,0,0,0
2007-05-20 - 2007-05-26,0,0,0,0,0
2007-05-27 - 2007-06-02,0,0,0,0,0
2007-06-03 - 2007-06-09,0,0,0,0,0
2007-06-10 - 2007-06-16,0,0,0,0,0
2007-06-17 - 2007-06-23,0,0,0,0,0
2007-06-24 - 2007-06-30,0,0,0,0,0
2007-07-01 - 2007-07-07,0,0,0,0,0
2007-07-08 - 2007-07-14,0,0,0,0,0
2007-07-15 - 2007-07-21,0,0,0,0,0
2007-07-22 - 2007-07-28,0,0,0,0,0
2007-07-29 - 2007-08-04,0,0,0,0,0
2007-08-05 - 2007-08-11,0,0,0,0,0
2007-08-12 - 2007-08-18,0,0,0,0,0
2007-08-19 - 2007-08-25,0,0,0,0,0
2007-08-26 - 2007-09-01,0,0,0,0,0
2007-09-02 - 2007-09-08,0,0,0,0,0
2007-09-09 - 2007-09-15,0,0,0,0,0
2007-09-16 - 2007-09-22,0,0,0,0,0
2007-09-23 - 2007-09-29,0,0,0,0,0
2007-09-30 - 2007-10-06,0,0,0,0,0
2007-10-07 - 2007-10-13,0,0,0,1,0
2007-10-14 - 2007-10-20,0,0,0,2,0
2007-10-21 - 2007-10-27,0,0,0,0,0
2007-10-28 - 2007-11-03,0,0,0,0,0
2007-11-04 - 2007-11-10,0,0,0,0,0
2007-11-11 - 2007-11-17,0,0,0,0,0
2007-11-18 - 2007-11-24,0,0,0,2,0
2007-11-25 - 2007-12-01,0,0,0,0,0
2007-12-02 - 2007-12-08,0,0,0,0,0
2007-12-09 - 2007-12-15,0,0,0,0,0
2007-12-16 - 2007-12-22,0,0,0,0,0
2007-12-23 - 2007-12-29,0,0,0,0,0
2007-12-30 - 2008-01-05,0,0,0,0,0
2008-01-06 - 2008-01-12,0,0,0,0,0
2008-01-13 - 2008-01-19,0,0,0,0,0
2008-01-20 - 2008-01-26,0,0,0,0,0
2008-01-27 - 2008-02-02,0,0,0,0,0
2008-02-03 - 2008-02-09,0,0,0,0,0
2008-02-10 - 2008-02-16,0,0,0,0,0
2008-02-17 - 2008-02-23,0,0,0,0,0
2008-02-24 - 2008-03-01,0,0,0,0,0
2008-03-02 - 2008-03-08,0,0,0,0,0
2008-03-09 - 2008-03-15,0,0,0,0,0
2008-03-16 - 2008-03-22,0,0,0,0,1
2008-03-23 - 2008-03-29,0,0,0,0,1
2008-03-30 - 2008-04-05,0,0,0,0,1
2008-04-06 - 2008-04-12,0,0,0,0,1
2008-04-13 - 2008-04-19,0,0,0,0,1
2008-04-20 - 2008-04-26,0,0,0,0,1
2008-04-27 - 2008-05-03,0,0,0,0,1
2008-05-04 - 2008-05-10,0,0,0,0,1
2008-05-11 - 2008-05-17,0,0,0,0,1
2008-05-18 - 2008-05-24,0,0,0,0,1
2008-05-25 - 2008-05-31,0,0,0,0,1
2008-06-01 - 2008-06-07,0,0,0,0,1
2008-06-08 - 2008-06-14,0,0,0,1,1
2008-06-15 - 2008-06-21,0,0,0,2,1
2008-06-22 - 2008-06-28,0,0,0,0,2
2008-06-29 - 2008-07-05,0,0,0,0,2
2008-07-06 - 2008-07-12,0,0,0,0,2
2008-07-13 - 2008-07-19,0,0,0,0,2
2008-07-20 - 2008-07-26,0,0,0,0,2
2008-07-27 - 2008-08-02,0,0,0,0,2
2008-08-03 - 2008-08-09,0,0,0,0,3
2008-08-10 - 2008-08-16,0,0,0,0,3
2008-08-17 - 2008-08-23,0,0,0,0,3
2008-08-24 - 2008-08-30,0,0,0,0,3
2008-08-31 - 2008-09-06,0,0,0,1,3
2008-09-07 - 2008-09-13,0,0,0,1,4
2008-09-14 - 2008-09-20,0,0,0,0,4
2008-09-21 - 2008-09-27,0,0,0,0,4
2008-09-28 - 2008-10-04,0,0,0,0,5
2008-10-05 - 2008-10-11,0,0,0,0,5
2008-10-12 - 2008-10-18,0,0,0,1,5
2008-10-19 - 2008-10-25,0,0,0,0,6
2008-10-26 - 2008-11-01,0,0,0,0,6
2008-11-02 - 2008-11-08,0,0,0,0,7
2008-11-09 - 2008-11-15,0,0,0,0,8
2008-11-16 - 2008-11-22,0,0,0,0,8
2008-11-23 - 2008-11-29,0,0,0,0,8
2008-11-30 - 2008-12-06,0,0,0,0,10
2008-12-07 - 2008-12-13,0,0,0,0,11
2008-12-14 - 2008-12-20,0,0,0,0,13
2008-12-21 - 2008-12-27,0,0,0,0,17
2008-12-28 - 2009-01-03,0,0,0,0,31
2009-01-04 - 2009-01-10,0,0,0,0,34
2009-01-11 - 2009-01-17,0,0,0,0,34
2009-01-18 - 2009-01-24,0,0,0,0,32
2009-01-25 - 2009-01-31,0,0,0,0,30
2009-02-01 - 2009-02-07,0,0,0,0,36
2009-02-08 - 2009-02-14,0,0,0,1,31
2009-02-15 - 2009-02-21,0,0,0,0,47
2009-02-22 - 2009-02-28,0,0,0,1,45
2009-03-01 - 2009-03-07,0,0,0,0,31
2009-03-08 - 2009-03-14,0,0,0,1,30
2009-03-15 - 2009-03-21,0,0,0,1,30
2009-03-22 - 2009-03-28,0,0,0,1,30
2009-03-29 - 2009-04-04,0,0,0,2,33
2009-04-05 - 2009-04-11,0,0,0,1,35
2009-04-12 - 2009-04-18,0,0,0,1,34
2009-04-19 - 2009-04-25,0,0,0,1,34
2009-04-26 - 2009-05-02,0,1,0,1,35
2009-05-03 - 2009-05-09,0,1,0,1,39
2009-05-10 - 2009-05-16,0,0,0,1,38
2009-05-17 - 2009-05-23,0,0,0,1,38
2009-05-24 - 2009-05-30,0,0,0,1,38
2009-05-31 - 2009-06-06,0,0,0,2,38
2009-06-07 - 2009-06-13,0,0,0,4,37
2009-06-14 - 2009-06-20,0,0,0,2,36
2009-06-21 - 2009-06-27,0,1,0,2,37
2009-06-28 - 2009-07-04,0,1,1,2,36
2009-07-05 - 2009-07-11,0,1,0,2,35
2009-07-12 - 2009-07-18,0,0,0,2,33
2009-07-19 - 2009-07-25,0,0,0,2,36
2009-07-26 - 2009-08-01,0,0,0,2,36
2009-08-02 - 2009-08-08,0,0,0,2,35
2009-08-09 - 2009-08-15,0,1,0,3,40
2009-08-16 - 2009-08-22,0,0,0,3,45
2009-08-23 - 2009-08-29,0,1,0,3,71
2009-08-30 - 2009-09-05,0,1,0,4,41
2009-09-06 - 2009-09-12,0,1,0,9,41
2009-09-13 - 2009-09-19,0,1,0,5,49
2009-09-20 - 2009-09-26,0,1,0,5,59
2009-09-27 - 2009-10-03,0,1,0,6,49
2009-10-04 - 2009-10-10,0,1,0,7,45
2009-10-11 - 2009-10-17,0,1,0,9,43
2009-10-18 - 2009-10-24,0,1,0,7,42
2009-10-25 - 2009-10-31,0,1,0,7,44
2009-11-01 - 2009-11-07,0,2,0,8,45
2009-11-08 - 2009-11-14,0,4,0,9,43
2009-11-15 - 2009-11-21,0,7,0,11,45
2009-11-22 - 2009-11-28,0,5,0,10,42
2009-11-29 - 2009-12-05,0,4,0,13,41
2009-12-06 - 2009-12-12,0,3,0,13,44
2009-12-13 - 2009-12-19,0,3,0,15,43
2009-12-20 - 2009-12-26,0,3,0,19,42
2009-12-27 - 2010-01-02,0,3,0,35,42
2010-01-03 - 2010-01-09,0,2,0,47,31
2010-01-10 - 2010-01-16,0,1,0,42,26
2010-01-17 - 2010-01-23,0,1,0,41,25
2010-01-24 - 2010-01-30,0,1,0,39,21
2010-01-31 - 2010-02-06,0,1,0,52,20
2010-02-07 - 2010-02-13,0,1,0,46,18
2010-02-14 - 2010-02-20,0,1,0,51,16
2010-02-21 - 2010-02-27,0,1,0,51,16
2010-02-28 - 2010-03-06,0,2,1,55,15
2010-03-07 - 2010-03-13,0,2,1,56,15
2010-03-14 - 2010-03-20,0,2,1,52,13
2010-03-21 - 2010-03-27,0,1,1,56,13
2010-03-28 - 2010-04-03,0,1,1,57,14
2010-04-04 - 2010-04-10,0,1,1,49,11
2010-04-11 - 2010-04-17,0,1,1,49,10
2010-04-18 - 2010-04-24,0,1,1,52,11
2010-04-25 - 2010-05-01,0,1,1,51,10
2010-05-02 - 2010-05-08,0,1,1,60,10
2010-05-09 - 2010-05-15,0,0,1,54,9
2010-05-16 - 2010-05-22,0,1,1,58,9
2010-05-23 - 2010-05-29,0,0,2,58,9
2010-05-30 - 2010-06-05,0,0,2,60,8
2010-06-06 - 2010-06-12,0,1,2,94,7
2010-06-13 - 2010-06-19,0,0,2,100,7
2010-06-20 - 2010-06-26,0,1,3,97,6
2010-06-27 - 2010-07-03,0,1,3,81,6
2010-07-04 - 2010-07-10,0,1,3,63,6
2010-07-11 - 2010-07-17,0,1,3,62,5
2010-07-18 - 2010-07-24,0,0,3,57,5
2010-07-25 - 2010-07-31,0,0,3,55,5
2010-08-01 - 2010-08-07,0,0,3,52,4
2010-08-08 - 2010-08-14,0,0,3,54,4
2010-08-15 - 2010-08-21,0,0,4,60,4
2010-08-22 - 2010-08-28,0,0,4,73,5
2010-08-29 - 2010-09-04,0,1,5,52,3
2010-09-05 - 2010-09-11,0,1,5,55,4
2010-09-12 - 2010-09-18,0,1,5,54,3
2010-09-19 - 2010-09-25,0,1,5,53,3
2010-09-26 - 2010-10-02,0,1,5,85,3
2010-10-03 - 2010-10-09,0,1,7,50,4
2010-10-10 - 2010-10-16,0,1,7,47,3
2010-10-17 - 2010-10-23,0,0,7,48,4
2010-10-24 - 2010-10-30,0,1,9,63,4
2010-10-31 - 2010-11-06,0,1,9,53,3
2010-11-07 - 2010-11-13,0,0,11,54,3
2010-11-14 - 2010-11-20,0,1,12,49,3
2010-11-21 - 2010-11-27,0,1,11,45,3
2010-11-28 - 2010-12-04,0,1,12,46,3
2010-12-05 - 2010-12-11,0,1,13,47,3
2010-12-12 - 2010-12-18,0,1,14,43,3
2010-12-19 - 2010-12-25,0,1,17,46,2
2010-12-26 - 2011-01-01,0,1,32,41,2
2011-01-02 - 2011-01-08,0,1,41,29,2
2011-01-09 - 2011-01-15,0,1,37,25,2
2011-01-16 - 2011-01-22,0,1,37,22,2
2011-01-23 - 2011-01-29,0,1,35,20,2
2011-01-30 - 2011-02-05,0,1,43,18,2
2011-02-06 - 2011-02-12,0,1,40,16,2
2011-02-13 - 2011-02-19,0,1,43,15,2
2011-02-20 - 2011-02-26,0,1,48,14,2
2011-02-27 - 2011-03-05,0,1,51,12,2
2011-03-06 - 2011-03-12,0,1,66,12,2
2011-03-13 - 2011-03-19,0,1,55,10,2
2011-03-20 - 2011-03-26,0,1,49,10,2
2011-03-27 - 2011-04-02,0,1,49,10,2
2011-04-03 - 2011-04-09,0,1,49,9,2
2011-04-10 - 2011-04-16,0,1,56,8,2
2011-04-17 - 2011-04-23,0,1,60,8,2
2011-04-24 - 2011-04-30,0,1,66,8,2
2011-05-01 - 2011-05-07,0,1,56,7,2
2011-05-08 - 2011-05-14,0,2,54,6,2
2011-05-15 - 2011-05-21,0,2,55,6,2
2011-05-22 - 2011-05-28,0,2,55,6,2
2011-05-29 - 2011-06-04,0,2,53,6,2
2011-06-05 - 2011-06-11,0,2,53,6,2
2011-06-12 - 2011-06-18,0,2,58,6,2
2011-06-19 - 2011-06-25,0,2,54,6,2
2011-06-26 - 2011-07-02,0,2,63,6,2
2011-07-03 - 2011-07-09,0,2,66,6,2
2011-07-10 - 2011-07-16,0,2,72,6,2
2011-07-17 - 2011-07-23,0,2,79,6,2
2011-07-24 - 2011-07-30,0,3,64,6,2
2011-07-31 - 2011-08-06,0,3,61,5,2
2011-08-07 - 2011-08-13,0,3,61,5,2
2011-08-14 - 2011-08-20,0,3,62,5,2
2011-08-21 - 2011-08-27,0,4,62,5,2
2011-08-28 - 2011-09-03,0,4,69,5,2
2011-09-04 - 2011-09-10,0,5,69,5,2
2011-09-11 - 2011-09-17,0,6,89,6,2
2011-09-18 - 2011-09-24,0,5,61,5,2
2011-09-25 - 2011-10-01,0,6,55,5,2
2011-10-02 - 2011-10-08,0,6,52,5,2
2011-10-09 - 2011-10-15,0,6,52,5,2
2011-10-16 - 2011-10-22,0,7,57,5,2
2011-10-23 - 2011-10-29,0,7,50,5,2
2011-10-30 - 2011-11-05,0,7,49,5,2
2011-11-06 - 2011-11-12,0,8,61,5,2
2011-11-13 - 2011-11-19,0,9,49,5,2
2011-11-20 - 2011-11-26,0,10,46,4,2
2011-11-27 - 2011-12-03,0,11,45,4,2
2011-12-04 - 2011-12-10,0,11,45,4,2
2011-12-11 - 2011-12-17,0,13,45,4,2
2011-12-18 - 2011-12-24,0,15,45,4,2
2011-12-25 - 2011-12-31,0,24,43,4,2
2012-01-01 - 2012-01-07,0,45,33,4,2
2012-01-08 - 2012-01-14,0,40,27,4,2
2012-01-15 - 2012-01-21,0,40,23,4,2
2012-01-22 - 2012-01-28,0,41,22,4,2
2012-01-29 - 2012-02-04,0,42,18,4,2
2012-02-05 - 2012-02-11,0,48,16,4,2
2012-02-12 - 2012-02-18,0,62,16,4,2
2012-02-19 - 2012-02-25,0,56,15,4,1
2012-02-26 - 2012-03-03,0,55,13,4,2
2012-03-04 - 2012-03-10,1,46,11,4,1
2012-03-11 - 2012-03-17,1,48,10,4,1
2012-03-18 - 2012-03-24,1,51,10,4,1
2012-03-25 - 2012-03-31,1,51,9,3,1
2012-04-01 - 2012-04-07,1,57,9,3,1
2012-04-08 - 2012-04-14,1,57,7,4,1
2012-04-15 - 2012-04-21,1,55,7,3,1
2012-04-22 - 2012-04-28,1,57,7,3,1
2012-04-29 - 2012-05-05,1,71,7,3,1
2012-05-06 - 2012-05-12,1,62,6,3,1
2012-05-13 - 2012-05-19,1,59,6,3,1
2012-05-20 - 2012-05-26,2,64,6,3,1
2012-05-27 - 2012-06-02,2,53,6,3,1
2012-06-03 - 2012-06-09,2,61,6,3,1
2012-06-10 - 2012-06-16,2,61,6,3,1
2012-06-17 - 2012-06-23,2,63,5,3,1
2012-06-24 - 2012-06-30,2,60,5,4,1
2012-07-01 - 2012-07-07,2,60,5,3,1
2012-07-08 - 2012-07-14,2,57,5,3,1
2012-07-15 - 2012-07-21,3,63,5,3,1
2012-07-22 - 2012-07-28,3,72,5,3,1
2012-07-29 - 2012-08-04,3,79,4,3,1
2012-08-05 - 2012-08-11,3,76,4,3,1
2012-08-12 - 2012-08-18,3,67,4,3,1
2012-08-19 - 2012-08-25,4,64,4,3,1
2012-08-26 - 2012-09-01,4,73,4,3,1
2012-09-02 - 2012-09-08,4,67,4,3,1
2012-09-09 - 2012-09-15,4,61,4,3,1
2012-09-16 - 2012-09-22,5,60,4,3,1
2012-09-23 - 2012-09-29,5,58,4,3,1
2012-09-30 - 2012-10-06,5,58,3,3,1
2012-10-07 - 2012-10-13,5,85,3,3,1
2012-10-14 - 2012-10-20,6,49,3,3,1
2012-10-21 - 2012-10-27,7,50,3,3,1
2012-10-28 - 2012-11-03,7,47,3,3,1
2012-11-04 - 2012-11-10,8,51,3,3,1
2012-11-11 - 2012-11-17,9,51,3,2,1
2012-11-18 - 2012-11-24,10,47,3,3,1
2012-11-25 - 2012-12-01,10,45,3,2,1
2012-12-02 - 2012-12-08,13,48,3,2,1
2012-12-09 - 2012-12-15,12,56,3,2,1
2012-12-16 - 2012-12-22,14,79,3,2,1
2012-12-23 - 2012-12-29,19,45,3,2,1
2012-12-30 - 2013-01-05,45,39,3,2,1
2013-01-06 - 2013-01-12,52,35,3,3,1
2013-01-13 - 2013-01-19, , , , , 
2013-01-20 - 2013-01-26, , , , , 
2013-01-27 - 2013-02-02, , , , , 


Top subregions for 2013
Subregion,2013,2012,2011,2010,2009
Yaracuy,100,100,69,84,47
Bolívar,90,85,31,34,19
FalcÓn,84,69,48,55,33
Barinas,78,74,50,77,53
Nueva Esparta,73,68,52,59,27
Aragua,73,77,41,42,17
Portuguesa,70,87,43,50,29
Sucre,67,78,43,47,21
Anzoátegui,67,74,37,42,19
Zulia,61,72,49,48,21
Mérida,59,60,48,53,30
Carabobo,47,68,49,48,20
Trujillo,47,58,59,74,32
Tâchira,46,49,56,49,24
Lara,38,46,32,89,75
Monagas,35,42,61,66,33
Diatrito Federal,25,36,31,100,100
Miranda,9,16,100,41,23
Apure,0,0,0,0,0
Guârico,0,26,29,49,0

Top subregions for 2012
Subregion,2013,2012,2011,2010,2009
Yaracuy,100,100,69,84,47
Portuguesa,70,87,43,50,29
Bolívar,90,85,31,34,19
Sucre,67,78,43,47,21
Aragua,73,77,41,42,17
Anzoátegui,67,74,37,42,19
Barinas,78,74,50,77,53
Zulia,61,72,49,48,21
FalcÓn,84,69,48,55,33
Nueva Esparta,73,68,52,59,27
Carabobo,47,68,49,48,20
Mérida,59,60,48,53,30
Trujillo,47,58,59,74,32
Tâchira,46,49,56,49,24
Lara,38,46,32,89,75
Monagas,35,42,61,66,33
Diatrito Federal,25,36,31,100,100
Guârico,0,26,29,49,0
Miranda,9,16,100,41,23
Apure,0,0,0,0,0

Top subregions for 2011
Subregion,2013,2012,2011,2010,2009
Miranda,9,16,100,41,23
Yaracuy,100,100,69,84,47
Monagas,35,42,61,66,33
Trujillo,47,58,59,74,32
Tâchira,46,49,56,49,24
Nueva Esparta,73,68,52,59,27
Barinas,78,74,50,77,53
Zulia,61,72,49,48,21
Carabobo,47,68,49,48,20
Mérida,59,60,48,53,30
FalcÓn,84,69,48,55,33
Portuguesa,70,87,43,50,29
Sucre,67,78,43,47,21
Aragua,73,77,41,42,17
Anzoátegui,67,74,37,42,19
Lara,38,46,32,89,75
Diatrito Federal,25,36,31,100,100
Bolívar,90,85,31,34,19
Guârico,0,26,29,49,0
Apure,0,0,0,0,0

Top subregions for 2010
Subregion,2013,2012,2011,2010,2009
Diatrito Federal,25,36,31,100,100
Lara,38,46,32,89,75
Yaracuy,100,100,69,84,47
Barinas,78,74,50,77,53
Trujillo,47,58,59,74,32
Monagas,35,42,61,66,33
Nueva Esparta,73,68,52,59,27
FalcÓn,84,69,48,55,33
Mérida,59,60,48,53,30
Portuguesa,70,87,43,50,29
Guârico,0,26,29,49,0
Tâchira,46,49,56,49,24
Carabobo,47,68,49,48,20
Zulia,61,72,49,48,21
Sucre,67,78,43,47,21
Anzoátegui,67,74,37,42,19
Aragua,73,77,41,42,17
Miranda,9,16,100,41,23
Bolívar,90,85,31,34,19
Apure,0,0,0,0,0

Top subregions for 2009
Subregion,2013,2012,2011,2010,2009
Diatrito Federal,25,36,31,100,100
Lara,38,46,32,89,75
Barinas,78,74,50,77,53
Yaracuy,100,100,69,84,47
FalcÓn,84,69,48,55,33
Monagas,35,42,61,66,33
Trujillo,47,58,59,74,32
